Date,Symbol,Open,Close,High,Low,Volume
2024-08-01,AAPL,175.32,177.54,178.22,174.98,75643200
2024-08-01,GOOGL,2745.30,2760.80,2775.00,2735.00,11234400
2024-08-01,MSFT,345.20,348.10,350.00,344.00,10423400
2024-08-01,AMZN,3345.50,3360.20,3380.00,3325.00,89023400
2024-08-01,TSLA,750.60,760.20,765.00,745.00,68234400
2024-08-02,AAPL,177.50,179.20,180.00,176.00,78654300
2024-08-02,GOOGL,2760.00,2775.50,2785.00,2750.00,11523400
2024-08-02,MSFT,348.00,350.50,352.00,347.00,11023400
2024-08-02,AMZN,3360.00,3380.10,3400.00,3340.00,91023400
2024-08-02,TSLA,760.00,765.00,770.00,755.00,69823400
2024-08-03,AAPL,179.00,180.50,182.00,177.50,80054300
2024-08-03,GOOGL,2775.00,2790.00,2800.00,2760.00,11823400
2024-08-03,MSFT,350.50,352.00,355.00,349.00,11523400
2024-08-03,AMZN,3380.00,3400.00,3420.00,3360.00,92023400
2024-08-03,TSLA,765.00,770.00,775.00,760.00,71023400